"(0.0, 137164.03)","(-31.331002, -54.106851)"
"(11.71, 137078.54)","(-31.331773, -54.106728)"
"(58.53, 137084.64)","(-31.331718, -54.106236)"
"(120.3, 137187.09)","(-31.330794, -54.105587)"
"(125.82, 137093.51)","(-31.331638, -54.105529)"
"(128.58, 137182.66)","(-31.330834, -54.1055)"
"(134.1, 137090.63)","(-31.331664, -54.105442)"
"(408.39, 137216.81)","(-31.330526, -54.10256)"
"(765.58, 137269.25)","(-31.330053, -54.098807)"
"(776.14, 137274.46)","(-31.330006, -54.098696)"
"(792.13, 137288.99)","(-31.329875, -54.098528)"
"(796.8, 137289.65)","(-31.329869, -54.098479)"
"(796.98, 137267.14)","(-31.330072, -54.098477)"
"(804.89, 137285.22)","(-31.329909, -54.098394)"
"(806.88, 137281.0)","(-31.329947, -54.098373)"
"(818.11, 137274.68)","(-31.330004, -54.098255)"
"(832.87, 137269.47)","(-31.330051, -54.0981)"
"(835.91, 137272.13)","(-31.330027, -54.098068)"
"(994.95, 137275.79)","(-31.329994, -54.096397)"
"(1208.81, 137315.82)","(-31.329633, -54.09415)"
"(1290.66, 137326.02)","(-31.329541, -54.09329)"
"(1307.31, 137334.67)","(-31.329463, -54.093115)"
"(1325.5, 137354.07)","(-31.329288, -54.092924)"
"(1365.29, 137410.5)","(-31.328779, -54.092506)"
"(1365.57, 137404.74)","(-31.328831, -54.092503)"
"(1371.57, 137407.29)","(-31.328808, -54.09244)"
"(1376.61, 137425.36)","(-31.328645, -54.092387)"
"(1384.32, 137421.15)","(-31.328683, -54.092306)"
"(1387.46, 137435.12)","(-31.328557, -54.092273)"
"(1393.75, 137436.67)","(-31.328543, -54.092207)"
"(1395.65, 137426.25)","(-31.328637, -54.092187)"
"(1399.46, 137422.92)","(-31.328667, -54.092147)"
"(1403.17, 137436.89)","(-31.328541, -54.092108)"
"(1412.31, 137434.34)","(-31.328564, -54.092012)"
"(1415.83, 137431.13)","(-31.328593, -54.091975)"
"(1477.12, 137403.41)","(-31.328843, -54.091331)"
"(1600.26, 137337.99)","(-31.329433, -54.090037)"
"(1604.45, 137349.75)","(-31.329327, -54.089993)"
"(1686.11, 137313.05)","(-31.329658, -54.089135)"
"(1689.25, 137325.13)","(-31.329549, -54.089102)"
"(1960.96, 137253.51)","(-31.330195, -54.086247)"
"(1963.53, 137265.7)","(-31.330085, -54.08622)"
"(2104.66, 137225.45)","(-31.330448, -54.084737)"
"(2107.71, 137237.54)","(-31.330339, -54.084705)"
"(2269.97, 137177.11)","(-31.330884, -54.083)"
"(2272.73, 137189.2)","(-31.330775, -54.082971)"
